size class,count,% embedded,
256,,,
180,,,
128,,,
90,,,
64,1,,
45,2,50%,
32,2,,
22.6,13,,
16,24,,
11.3,11,,
8,11,,
5.6,9,,
4,9,,
2.8,6,,
2,4,,
1.4,1,,
1,3,,
<1,4,,
Sample,,,
Date,7/14/15,,
LB Veg Height,55,cm,
RB Veg Height,330,cm,willow
LB Root Depth,45,cm,
RB Root Depth,-,cm,
Note,vegetation in channel. Thin layer of gravel (2~10 cm thick) on patches of compressed sedimet,,
bank,"0~20 cm fine sediment with organic matter, ",,
,20 ~ 30 cm gravel layer,,
,30+ cm fine sediment all layer,,
