,Point,station,lp_code,hc_num,dam_num,xs_id,note,channel_present,bed_surface,veg,bank conditions,x,y,z,survey_date,latlon_err,elev_error,gps_xy_err,gps_z_erro,ts_xy_erro,ts_z_error,distance
0,4.0,1,thalweg,,,,,,,,,2176040.955,639519.8995,1909.844,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,0.0
1,5.0,1,thalweg,,,,,,,,,2176043.539,639523.0444,1910.085,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,4.07031350251
2,6.0,1,thalweg,,,,,,,,,2176045.968,639524.2288,1909.879,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,6.77269104133
3,7.0,1,thalweg,,,,,,,,,2176047.731,639526.741,1909.521,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,9.84178175998
4,8.0,1,thalweg,,,,,,,,,2176047.664,639528.2654,1909.402,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,11.3676534322
5,9.0,1,thalweg,,,,,,,,,2176047.032,639529.5595,1909.416,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,12.8078335633
6,10.0,1,thalweg,,,,,,,,,2176046.05,639531.4003,1909.312,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,14.8941865152
7,11.0,1,thalweg,,,,,,,,,2176044.627,639532.6801,1909.335,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,16.8080352657
8,12.0,1,thalweg,,,,,,,,,2176042.887,639533.1555,1909.941,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,18.6118105175
9,13.0,1,thalweg,,,,,,,,,2176040.643,639534.6458,1909.95,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,21.3056052554
10,14.0,1,thalweg,,,,,,,,,2176038.06,639536.1881,1909.969,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,24.3140231603
11,15.0,1,thalweg,,,,,,,,,2176034.364,639539.393,1909.953,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,29.2060370615
12,16.0,1,thalweg,,,,,,,,,2176031.787,639541.5785,1909.382,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,32.5849924105
13,17.0,1,thalweg,,,,,,,,,2176030.447,639542.5075,1909.524,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,34.2155263724
14,18.0,1,thalweg,,,,,,,,,2176030.478,639544.1388,1909.421,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,35.8471208961
15,19.0,1,thalweg,,,,,,,,,2176029.675,639545.2844,1909.431,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,37.2461235268
16,20.0,1,thalweg,,,,,,,,,2176029.998,639547.1335,1909.421,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,39.1232223016
17,21.0,1,thalweg,,,,,,,,,2176031.816,639548.0113,1909.222,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,41.1420479107
18,22.0,1,thalweg,,,,,,,,,2176034.395,639546.9866,1909.374,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,43.9171607173
19,23.0,1,thalweg,,,,,,,,,2176035.597,639546.9355,1909.611,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,45.1202464209
20,24.0,1,thalweg,,,,,,,,,2176038.229,639545.974,1909.906,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,47.9223717306
21,25.0,1,thalweg,,,,,,,,,2176040.182,639547.3093,1909.962,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,50.2882193776
22,26.0,1,thalweg,,,,,,,,,2176042.345,639547.8187,1910.125,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,52.5103933944
23,27.0,1,thalweg,,,,,,,,,2176044.476,639547.5177,1910.104,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,54.6625462696
24,28.0,1,thalweg,,,,us of beaver dam,,,,,2176046.54,639546.6949,1910.364,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,56.8845039292
