,dmin,d16,d25,d50,d75,d84,d100
1A,0.5,13.446,19.016,26.759,35.667,41.005,90.0
1B,0.5,8.0,20.568,28.927,41.492,48.888,90.0
2A,0.5,19.189,22.6,30.198,39.599,43.584,90.0
2B,0.5,18.517,20.869,26.66,34.673,41.531,64.0
3A,0.5,0.871,3.201,14.177,18.834,20.533,32.0
3B,0.5,2.8,5.236,14.044,20.225,22.6,32.0
4A,0.5,0.801,1.235,6.201,18.844,22.193,90.0
4B,0.5,0.754,0.95,16.185,21.583,24.551,32.0
5A,0.5,5.726,6.998,11.416,14.743,16.328,22.6
5B,0.5,5.726,6.998,10.78,14.463,16.0,32.0
6A,0.5,0.871,2.8,17.765,23.238,26.337,45.0
6B,0.5,3.801,7.551,23.097,27.683,29.549,45.0
