,dmin,d16,d25,d50,d75,d84,d100,Geometric mean size,SD
1A,0.5,16.065,17.37,21.577,29.954,35.036,64.0,0.997,1.034
1C,0.315,7.962,16.64,24.653,34.6,39.622,64.0,0.983,1.133
2A,0.125,10.556,17.878,26.331,37.794,44.709,64.0,0.976,1.197
2B,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
2C,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
2D,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
3B,0.001,1.577,2.644,16.609,20.974,23.097,45.0,0.71,2.831
3D,0.5,2.191,2.986,6.361,19.376,22.451,32.0,inf,
4A,0.5,3.666,5.733,11.548,20.731,23.893,32.0,0.997,1.034
4C,1.4,4.961,7.168,17.406,21.668,24.708,45.0,1.02,1.102
5A,0.169,0.244,0.301,0.536,0.955,1.636,5.6,0.559,1.567
5B,0.162,0.257,0.334,0.687,2.0,2.707,22.6,0.613,1.614
6B,0.101,0.214,0.328,1.134,5.708,7.329,32.0,0.602,1.777
6C,0.25,0.38,0.48,0.922,2.685,8.525,45.0,0.759,1.482
6D,0.5,3.805,6.068,17.503,24.653,27.177,45.0,inf,
CTC1,0.088,0.354,0.952,4.576,9.508,13.062,32.0,0.732,1.747
CTC2,0.226,0.5,0.969,2.052,3.531,4.311,45.0,0.84,1.442
CTC3,0.099,0.188,0.27,0.735,2.052,2.615,8.0,0.545,1.766
CTC4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
CTC5,0.008,1.501,2.115,5.785,11.893,14.456,32.0,0.731,2.287
CTC6,0.258,0.438,0.59,1.644,2.738,3.387,8.0,0.815,1.442
1CTC,0.18,0.305,0.41,0.936,2.176,3.061,8.0,0.688,1.589
